protocol=2 seed=67 ops=10000
DET scan_inverted 0
DET scan_snapshot 1
DET delrange_empty ok
SCAN [key2410, key5270) size=5
SCAN [key8470, key8768) size=2
SCAN [key1146, key9538) size=22
SCAN [key7585, key992) size=6
SCAN [key1205, key9901) size=11
SCAN [key4168, key80) size=5
SCAN [key5069, key7425) size=4
SCAN [key2211, key5850) size=4
SCAN [key4865, key9263) size=15
SCAN [key2485, key9348) size=12
SCAN [key8697, key8806) size=2
SCAN [key1094, key7300) size=8
SCAN [key6299, key83) size=9
SCAN [key2661, key4409) size=1
SCAN [key7603, key8310) size=5
SCAN [key1182, key7562) size=10
SCAN [key1169, key1580) size=0
SCAN [key6230, key6873) size=1
SCAN [key2591, key8907) size=26
SCAN [key5018, key690) size=3
SCAN [key3463, key8584) size=17
SCAN [key5251, key8697) size=15
SCAN [key3174, key4444) size=10
SCAN [key3498, key6551) size=3
SCAN [key6459, key7554) size=8
SCAN [key3089, key6336) size=1
SCAN [key5837, key6972) size=1
SCAN [key4947, key9197) size=5
SCAN [key3989, key8878) size=7
SCAN [key3879, key866) size=7
SCAN [key2594, key8931) size=14
SCAN [key5405, key7976) size=9
SCAN [key3068, key5691) size=5
SCAN [key1664, key6209) size=9
SCAN [key8137, key9097) size=4
SCAN [key3064, key5220) size=3
SCAN [key7285, key9642) size=14
SCAN [key4772, key8285) size=17
SCAN [key2392, key5059) size=7
SCAN [key2230, key4807) size=5
SCAN [key2476, key6546) size=13
SCAN [key1506, key8715) size=33
SCAN [key1195, key7262) size=32
SCAN [key2649, key4205) size=4
SCAN [key2230, key4549) size=2
SCAN [key430, key4540) size=0
SCAN [key5838, key9479) size=5
SCAN [key519, key752) size=3
SCAN [key4932, key5390) size=1
SCAN [key264, key8572) size=4
SCAN [key4419, key9292) size=5
SCAN [key3693, key6657) size=3
SCAN [key2541, key9751) size=12
SCAN [key719, key8980) size=4
SCAN [key2110, key9581) size=17
SCAN [key1514, key3374) size=6
SCAN [key9066, key9215) size=0
SCAN [key1196, key7399) size=13
SCAN [key4962, key8638) size=8
SCAN [key3869, key9056) size=8
SCAN [key7675, key8335) size=1
SCAN [key1097, key8718) size=6
SCAN [key1225, key5822) size=3
SCAN [key5457, key9839) size=3
SCAN [key4137, key7535) size=3
SCAN [key7003, key7779) size=3
SCAN [key3544, key643) size=7
SCAN [key6630, key7494) size=3
SCAN [key3247, key8725) size=24
SCAN [key2630, key6506) size=17
SCAN [key1821, key7623) size=36
SCAN [key3254, key3401) size=3
SCAN [key1030, key8721) size=68
SCAN [key2292, key9958) size=62
SCAN [key4186, key7626) size=25
GET key6975 => value85344
SCAN [key147, key5957) size=17
SCAN [key530, key5674) size=0
SCAN [key3906, key7462) size=0
SCAN [key3965, key6387) size=1
SCAN [key1029, key2287) size=10
SCAN [key1485, key8388) size=22
SCAN [key3111, key7443) size=7
SCAN [key1805, key8473) size=2
SCAN [key2183, key8798) size=7
SCAN [key6459, key8441) size=1
SCAN [key1658, key5185) size=5
SCAN [key4302, key7868) size=2
SCAN [key2773, key2811) size=0
SCAN [key3427, key9025) size=19
SCAN [key1861, key2998) size=3
SCAN [key4972, key9698) size=22
SCAN [key1476, key6938) size=25
SCAN [key3233, key8191) size=17
SCAN [key2640, key6245) size=19
SCAN [key4153, key707) size=14
SCAN [key5944, key669) size=3
SCAN [key3414, key6034) size=16
SCAN [key3964, key5014) size=7
SCAN [key5269, key7683) size=8
SCAN [key5673, key5938) size=1
SCAN [key1948, key6580) size=39
SCAN [key2977, key4318) size=11
SCAN [key1187, key6904) size=34
SCAN [key7054, key9158) size=9
SCAN [key838, key9526) size=6
SCAN [key5534, key7793) size=0
SCAN [key1883, key5749) size=2
SCAN [key2285, key8341) size=12
SCAN [key1002, key6630) size=16
SCAN [key5130, key7763) size=4
SCAN [key1803, key9210) size=23
SCAN [key5171, key5602) size=0
SCAN [key2365, key4522) size=0
SCAN [key3950, key6113) size=0
SCAN [key7702, key9020) size=1
SCAN [key8195, key8743) size=0
SCAN [key1420, key7445) size=30
SCAN [key1424, key9222) size=3
SCAN [key2713, key5715) size=0
SCAN [key3894, key7686) size=1
SCAN [key6099, key8510) size=1
SCAN [key1106, key6922) size=9
SCAN [key7147, key9310) size=1
SCAN [key1296, key7564) size=2
SCAN [key844, key9837) size=6
SCAN [key7918, key8793) size=0
SCAN [key4551, key9626) size=4
SCAN [key8098, key8723) size=1
SCAN [key1954, key9332) size=9
SCAN [key1025, key7916) size=27
SCAN [key3637, key6641) size=6
SCAN [key8825, key92) size=1
GET key3522 => value26354
SCAN [key3629, key967) size=15
SCAN [key4348, key6359) size=3
SCAN [key4195, key7201) size=4
SCAN [key7794, key8511) size=0
SCAN [key3846, key4629) size=3
SCAN [key3280, key9273) size=14
SCAN [key243, key64) size=25
SCAN [key549, key7319) size=6
SCAN [key6378, key6811) size=0
SCAN [key4414, key9080) size=24
GET key2366 => value6341
SCAN [key5340, key7465) size=12
SCAN [key5989, key9359) size=22
SCAN [key2218, key4125) size=21
SCAN [key8670, key974) size=8
SCAN [key3199, key8732) size=37
SCAN [key5792, key7038) size=1
SCAN [key1831, key603) size=50
SCAN [key3154, key8049) size=35
SCAN [key3532, key9773) size=54
SCAN [key6021, key6310) size=1
SCAN [key4073, key7532) size=18
SCAN [key7660, key8890) size=19
SCAN [key2817, key4030) size=28
SCAN [key7650, key8528) size=2
SCAN [key3609, key8435) size=31
GET key694 => value66084
SCAN [key2231, key6055) size=57
SCAN [key7961, key8688) size=5
SCAN [key5294, key6915) size=13
SCAN [key6995, key893) size=13
SCAN [key5357, key8905) size=27
SCAN [key5459, key86) size=20
SCAN [key797, key9331) size=21
SCAN [key3803, key4530) size=15
SCAN [key4455, key7808) size=29
SCAN [key5990, key7581) size=12
SCAN [key5905, key6516) size=6
SCAN [key1081, key8943) size=121
SCAN [key1798, key8956) size=107
SCAN [key7090, key8211) size=2
SCAN [key5848, key6738) size=9
SCAN [key3135, key5934) size=51
SCAN [key1771, key2974) size=29
SCAN [key4929, key9607) size=51
SCAN [key2370, key7708) size=86
SCAN [key801, key9358) size=22
SCAN [key8153, key8176) size=0
SCAN [key1172, key8056) size=108
SCAN [key5429, key9625) size=49
